z_real,z_img,applied_voltage,sbh_weight_percent,catalyst_loading
0.15364,-0.00152,0.5,3,4.4
0.1572,-0.0011,0.5,3,4.4
0.15326,-0.00171,0.5,3,4.4
0.15361,-0.00121,0.5,3,4.4
0.16226,-0.01627,0.5,3,4.4
0.16965,-0.01506,0.5,3,4.4
0.17397,-0.01099,0.5,3,4.4
0.16855,-0.00414,0.5,3,4.4
0.16728,-0.00554,0.5,3,4.4
0.16945,-0.00117,0.5,3,4.4
0.16847,0.0051,0.5,3,4.4
0.1691,-0.00332,0.5,3,4.4
0.17706,0.00545,0.5,3,4.4
0.17842,0.00703,0.5,3,4.4
0.17973,0.00846,0.5,3,4.4
0.18091,0.00966,0.5,3,4.4
0.18233,0.01118,0.5,3,4.4
0.18419,0.01272,0.5,3,4.4
0.18508,0.022,0.5,3,4.4
0.18858,0.01511,0.5,3,4.4
0.17789,0.01933,0.5,3,4.4
0.18598,0.02792,0.5,3,4.4
0.18592,0.01944,0.5,3,4.4
0.18188,0.02289,0.5,3,4.4
0.19009,0.017,0.5,3,4.4
0.19177,0.01949,0.5,3,4.4
0.19359,0.02041,0.5,3,4.4
0.19936,0.02029,0.5,3,4.4
0.20584,0.01792,0.5,3,4.4
0.21939,0.02839,0.5,3,4.4
0.21396,0.02621,0.5,3,4.4
0.22715,0.03355,0.5,3,4.4
0.22332,0.02615,0.5,3,4.4
0.2233,0.03297,0.5,3,4.4
0.23572,0.03667,0.5,3,4.4
0.23525,0.04206,0.5,3,4.4
0.24929,0.04488,0.5,3,4.4
0.26655,0.05636,0.5,3,4.4
0.27746,0.04969,0.5,3,4.4
0.29198,0.06598,0.5,3,4.4
0.3065,0.06565,0.5,3,4.4
0.32077,0.08228,0.5,3,4.4
0.32017,0.08472,0.5,3,4.4
0.34933,0.09902,0.5,3,4.4
0.36385,0.09891,0.5,3,4.4
0.39215,0.11619,0.5,3,4.4
0.40667,0.13072,0.5,3,4.4
0.43572,0.13072,0.5,3,4.4
0.46477,0.13072,0.5,3,4.4
0.47929,0.13072,0.5,3,4.4
0.52286,0.13072,0.5,3,4.4
0.56644,0.13072,0.5,3,4.4
0.55191,0.13072,0.5,3,4.4
0.59245,0.13755,0.5,3,4.4
0.61001,0.10167,0.5,3,4.4
0.62453,0.10167,0.5,3,4.4
0.65367,0.09756,0.5,3,4.4
0.6681,0.07262,0.5,3,4.4
0.65358,0.0581,0.5,3,4.4
0.29531,-0.05156,0.7,3,4.4
0.26283,0.02045,0.7,3,4.4
0.26775,0.01843,0.7,3,4.4
0.26344,0.01938,0.7,3,4.4
0.268,0.01985,0.7,3,4.4
0.26619,0.01958,0.7,3,4.4
0.26144,0.02069,0.7,3,4.4
0.27046,0.01884,0.7,3,4.4
0.27008,0.01832,0.7,3,4.4
0.26069,0.02114,0.7,3,4.4
0.26114,0.02189,0.7,3,4.4
0.29171,-0.03069,0.7,3,4.4
0.32286,-0.02731,0.7,3,4.4
0.29644,-0.00306,0.7,3,4.4
0.30751,0.00759,0.7,3,4.4
0.32267,-0.03433,0.7,3,4.4
0.3205,0.0274,0.7,3,4.4
0.31386,-0.00316,0.7,3,4.4
0.30626,0.01447,0.7,3,4.4
0.30409,0.01188,0.7,3,4.4
0.31386,0.00316,0.7,3,4.4
0.33158,-0.00471,0.7,3,4.4
0.31595,-0.01227,0.7,3,4.4
0.31582,0.0138,0.7,3,4.4
0.3131,7.87E-04,0.7,3,4.4
0.34075,0.01999,0.7,3,4.4
0.34509,0,0.7,3,4.4
0.34385,0.02063,0.7,3,4.4
0.32953,0.03582,0.7,3,4.4
0.33773,0.01744,0.7,3,4.4
0.33144,0.03841,0.7,3,4.4
0.3389,0.02839,0.7,3,4.4
0.35456,0.02346,0.7,3,4.4
0.36652,0.02819,0.7,3,4.4
0.32051,0.04279,0.7,3,4.4
0.34415,0.05209,0.7,3,4.4
0.33002,0.03348,0.7,3,4.4
0.3357,0.01273,0.7,3,4.4
0.36321,0.028,0.7,3,4.4
0.33718,0.02686,0.7,3,4.4
0.38264,0.04392,0.7,3,4.4
0.35933,0.02938,0.7,3,4.4
0.39279,0.05579,0.7,3,4.4
0.40314,0.06135,0.7,3,4.4
0.41937,0.06517,0.7,3,4.4
0.42052,0.07155,0.7,3,4.4
0.41977,0.07985,0.7,3,4.4
0.45615,0.08594,0.7,3,4.4
0.41729,0.09641,0.7,3,4.4
0.49235,0.09347,0.7,3,4.4
0.49145,0.14073,0.7,3,4.4
0.52903,0.13999,0.7,3,4.4
0.56734,0.17683,0.7,3,4.4
0.60146,0.18796,0.7,3,4.4
0.63906,0.22555,0.7,3,4.4
0.67665,0.22555,0.7,3,4.4
0.71424,0.26314,0.7,3,4.4
0.7552,0.2815,0.7,3,4.4
0.81233,0.27761,0.7,3,4.4
0.8646,0.26314,0.7,3,4.4
0.92609,0.27513,0.7,3,4.4
0.95771,0.26609,0.7,3,4.4
1.0184,0.25169,0.7,3,4.4
1.0751,0.22859,0.7,3,4.4
1.0902,0.22555,0.7,3,4.4
1.1108,0.2143,0.7,3,4.4
0.12736,-0.00383,0.3,5,4.4
0.12727,-0.00371,0.3,5,4.4
0.12727,-0.00383,0.3,5,4.4
0.12742,-0.00365,0.3,5,4.4
0.12715,-0.00404,0.3,5,4.4
0.12721,-0.00373,0.3,5,4.4
0.15448,-0.00538,0.3,5,4.4
0.13185,-0.00428,0.3,5,4.4
0.12679,-0.00405,0.3,5,4.4
0.12636,-0.00391,0.3,5,4.4
0.12611,-0.00392,0.3,5,4.4
0.12789,-0.00838,0.3,5,4.4
0.13133,-0.00764,0.3,5,4.4
0.13331,-0.00484,0.3,5,4.4
0.13432,-0.00219,0.3,5,4.4
0.13502,9.94E-05,0.3,5,4.4
0.13574,0.00226,0.3,5,4.4
0.13641,0.0038,0.3,5,4.4
0.13717,0.00535,0.3,5,4.4
0.13803,0.00671,0.3,5,4.4
0.13914,0.00821,0.3,5,4.4
0.14036,0.00944,0.3,5,4.4
0.14174,0.01099,0.3,5,4.4
0.14302,0.01235,0.3,5,4.4
0.14485,0.01392,0.3,5,4.4
0.14659,0.01549,0.3,5,4.4
0.14863,0.0176,0.3,5,4.4
0.15124,0.0196,0.3,5,4.4
0.15342,0.02155,0.3,5,4.4
0.15659,0.02422,0.3,5,4.4
0.1596,0.0267,0.3,5,4.4
0.164,0.02907,0.3,5,4.4
0.16833,0.03206,0.3,5,4.4
0.17364,0.03445,0.3,5,4.4
0.17929,0.03732,0.3,5,4.4
0.18577,0.03925,0.3,5,4.4
0.19231,0.04162,0.3,5,4.4
0.19876,0.04365,0.3,5,4.4
0.20593,0.04565,0.3,5,4.4
0.21364,0.04703,0.3,5,4.4
0.22004,0.04804,0.3,5,4.4
0.22914,0.05006,0.3,5,4.4
0.23821,0.05193,0.3,5,4.4
0.2484,0.05546,0.3,5,4.4
0.2592,0.05382,0.3,5,4.4
0.26958,0.05572,0.3,5,4.4
0.28255,0.05902,0.3,5,4.4
0.29391,0.06136,0.3,5,4.4
0.30079,0.06278,0.3,5,4.4
0.31917,0.05885,0.3,5,4.4
0.32763,0.06353,0.3,5,4.4
0.33372,0.06238,0.3,5,4.4
0.35419,0.05424,0.3,5,4.4
0.35543,0.05177,0.3,5,4.4
0.35477,0.04975,0.3,5,4.4
0.37171,0.04546,0.3,5,4.4
0.38029,0.03793,0.3,5,4.4
0.38131,0.03568,0.3,5,4.4
0.3855,0.02447,0.3,5,4.4
0.39939,0.0255,0.3,5,4.4
0.39333,0.01541,0.3,5,4.4
0.40257,0.02298,0.3,5,4.4
0.41139,0.01803,0.3,5,4.4
0.4097,0.01613,0.3,5,4.4
0.40615,0.00836,0.3,5,4.4
0.41338,0.00306,0.3,5,4.4
0.4017,-5.47E-04,0.3,5,4.4
0.12651,0.00173,0.5,5,4.4
0.12485,0.00196,0.5,5,4.4
0.12613,0.0018,0.5,5,4.4
0.12457,0.00233,0.5,5,4.4
0.12603,0.00167,0.5,5,4.4
0.12438,0.00191,0.5,5,4.4
0.12663,0.00246,0.5,5,4.4
0.12421,0.00197,0.5,5,4.4
0.12555,0.00162,0.5,5,4.4
0.12394,0.00162,0.5,5,4.4
0.12393,0.00206,0.5,5,4.4
0.12858,-0.0096,0.5,5,4.4
0.13514,-0.00972,0.5,5,4.4
0.13905,-0.00629,0.5,5,4.4
0.14087,-0.00282,0.5,5,4.4
0.14194,-8.02E-05,0.5,5,4.4
0.14236,0.00239,0.5,5,4.4
0.14328,0.00433,0.5,5,4.4
0.14392,0.00592,0.5,5,4.4
0.14484,0.00762,0.5,5,4.4
0.14615,0.00932,0.5,5,4.4
0.14751,0.01033,0.5,5,4.4
0.14891,0.01211,0.5,5,4.4
0.15067,0.01332,0.5,5,4.4
0.15265,0.01498,0.5,5,4.4
0.15477,0.01675,0.5,5,4.4
0.15718,0.01864,0.5,5,4.4
0.15949,0.02016,0.5,5,4.4
0.16321,0.02258,0.5,5,4.4
0.16662,0.02394,0.5,5,4.4
0.16962,0.02582,0.5,5,4.4
0.17391,0.02813,0.5,5,4.4
0.17835,0.02997,0.5,5,4.4
0.18316,0.03129,0.5,5,4.4
0.18767,0.03281,0.5,5,4.4
0.19283,0.03472,0.5,5,4.4
0.19777,0.03689,0.5,5,4.4
0.2031,0.03852,0.5,5,4.4
0.20856,0.04097,0.5,5,4.4
0.21438,0.04396,0.5,5,4.4
0.22166,0.04626,0.5,5,4.4
0.22879,0.04925,0.5,5,4.4
0.23669,0.0543,0.5,5,4.4
0.24468,0.05971,0.5,5,4.4
0.25657,0.06166,0.5,5,4.4
0.26605,0.06639,0.5,5,4.4
0.28053,0.07306,0.5,5,4.4
0.29306,0.07866,0.5,5,4.4
0.30875,0.08749,0.5,5,4.4
0.32409,0.09178,0.5,5,4.4
0.34248,0.09651,0.5,5,4.4
0.37115,0.10071,0.5,5,4.4
0.37677,0.10343,0.5,5,4.4
0.40351,0.10418,0.5,5,4.4
0.41187,0.10114,0.5,5,4.4
0.43579,0.09774,0.5,5,4.4
0.44879,0.09094,0.5,5,4.4
0.46024,0.07989,0.5,5,4.4
0.47829,0.07834,0.5,5,4.4
0.48882,0.08099,0.5,5,4.4
0.48066,0.05762,0.5,5,4.4
0.50254,0.04899,0.5,5,4.4
0.50366,0.04702,0.5,5,4.4
0.51926,0.05468,0.5,5,4.4
0.10782,0.02002,0.7,5,4.4
0.11138,0.0198,0.7,5,4.4
0.10654,0.01855,0.7,5,4.4
0.11023,0.02115,0.7,5,4.4
0.10666,0.0192,0.7,5,4.4
0.11208,0.0193,0.7,5,4.4
0.10517,0.01924,0.7,5,4.4
0.11053,0.01935,0.7,5,4.4
0.10542,0.02065,0.7,5,4.4
0.10923,0.01975,0.7,5,4.4
0.10993,0.01925,0.7,5,4.4
0.12175,-0.01261,0.7,5,4.4
0.13836,-0.01491,0.7,5,4.4
0.13222,0,0.7,5,4.4
0.12507,-0.01152,0.7,5,4.4
0.13517,-0.01545,0.7,5,4.4
0.13559,0.00554,0.7,5,4.4
0.13938,0.01849,0.7,5,4.4
0.12956,0.01345,0.7,5,4.4
0.12883,0.00139,0.7,5,4.4
0.14943,0.0079,0.7,5,4.4
0.13822,0.00344,0.7,5,4.4
0.13579,0.01718,0.7,5,4.4
0.15556,6.82E-04,0.7,5,4.4
0.15443,0.01321,0.7,5,4.4
0.15337,0,0.7,5,4.4
0.15269,0.01018,0.7,5,4.4
0.15069,0.02009,0.7,5,4.4
0.15711,0.03367,0.7,5,4.4
0.16032,0.02101,0.7,5,4.4
0.15634,0.03672,0.7,5,4.4
0.16182,0.02814,0.7,5,4.4
0.17038,0.02582,0.7,5,4.4
0.17894,0.02556,0.7,5,4.4
0.18815,0.02914,0.7,5,4.4
0.20245,0.03681,0.7,5,4.4
0.18143,0.03535,0.7,5,4.4
0.19703,0.04112,0.7,5,4.4
0.20598,0.02701,0.7,5,4.4
0.20275,0.0401,0.7,5,4.4
0.22034,0.04784,0.7,5,4.4
0.21729,0.05574,0.7,5,4.4
0.23903,0.06071,0.7,5,4.4
0.25116,0.06673,0.7,5,4.4
0.25688,0.06989,0.7,5,4.4
0.27833,0.07473,0.7,5,4.4
0.30037,0.07699,0.7,5,4.4
0.32238,0.07978,0.7,5,4.4
0.32319,0.10257,0.7,5,4.4
0.34487,0.10591,0.7,5,4.4
0.36675,0.13257,0.7,5,4.4
0.38984,0.15512,0.7,5,4.4
0.43549,0.15458,0.7,5,4.4
0.45647,0.18259,0.7,5,4.4
0.50212,0.18259,0.7,5,4.4
0.52494,0.20541,0.7,5,4.4
0.57059,0.20541,0.7,5,4.4
0.61623,0.20541,0.7,5,4.4
0.63906,0.18259,0.7,5,4.4
0.6847,0.18259,0.7,5,4.4
0.73035,0.18259,0.7,5,4.4
0.75317,0.15976,0.7,5,4.4
0.11775,-0.00241,0.3,8,4.4
0.11946,-0.00691,0.3,8,4.4
0.12282,-0.00611,0.3,8,4.4
0.12508,-0.00352,0.3,8,4.4
0.12607,-7.58E-04,0.3,8,4.4
0.12708,0.00154,0.3,8,4.4
0.12781,0.00363,0.3,8,4.4
0.12872,0.0053,0.3,8,4.4
0.12967,0.00686,0.3,8,4.4
0.1309,0.00814,0.3,8,4.4
0.13206,0.00972,0.3,8,4.4
0.13349,0.01109,0.3,8,4.4
0.13512,0.01241,0.3,8,4.4
0.13677,0.0141,0.3,8,4.4
0.13864,0.01566,0.3,8,4.4
0.1407,0.01754,0.3,8,4.4
0.14297,0.01959,0.3,8,4.4
0.14571,0.02156,0.3,8,4.4
0.14837,0.02386,0.3,8,4.4
0.15165,0.02687,0.3,8,4.4
0.15544,0.02966,0.3,8,4.4
0.15965,0.03258,0.3,8,4.4
0.16432,0.03615,0.3,8,4.4
0.16992,0.0395,0.3,8,4.4
0.17629,0.04333,0.3,8,4.4
0.18404,0.04592,0.3,8,4.4
0.19154,0.04987,0.3,8,4.4
0.20005,0.05285,0.3,8,4.4
0.21057,0.05586,0.3,8,4.4
0.2181,0.05731,0.3,8,4.4
0.22903,0.05874,0.3,8,4.4
